Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Bricklinked,Archive,Selling,No Minifigures,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"21109-1","Ideas","",2014,"Exo Suit",2,321,29.99,34.99,44.99,34.99,,673419222389,26.1874,19.1008,4.5974,0.38,"£30-40",1,1,0,,0,1,,,"Yes",,,,,,56.8200,38.9700,"01/08/2014","31/03/2015"
"21303-1","Ideas","Licensed",2015,"WALL-E",,677,39.99,59.99,69.99,49.99,5702015535571,,19.1,26.2,9.1,,"£80 to Zoe",1,1,0,,0,1,,,"Yes",,,,,,264.6800,169.9000,"01/09/2015","31/12/2016"
"21307-1","Ideas","Licensed",2016,"Caterham Seven 620R",,771,74.99,79.99,,,5702015870559,673419267885,38.2,26.2,7.1,,"",1,1,0,,0,1,,,,,,,,,139.1500,97.9300,"01/10/2016","31/12/2017"
"30161-1","DC Comics Super Heroes","Batman",2012,"Batmobile",,45,,4,,,5702014858626,673419184458,17,17,1.5,,"",1,1,0,,0,1,,,,,,,,,10.8400,3.5000,"01/01/2012","31/12/2013"
"30162-1","Marvel Super Heroes","The Avengers",2012,"Quinjet",,33,,,,,5702014912656,673419233033,,,,,"",1,1,0,,0,1,,,,,,,,,4.1600,2.1900,"",""
"30165-1","Marvel Super Heroes","The Avengers",2012,"Hawkeye with equipment",1,24,,,,,5702014936591,,,,,,"",1,1,0,,0,1,,,,,,,,,8.6200,4.7500,"",""
"30167-1","Marvel Super Heroes","The Avengers",2013,"Iron Man vs. Fighting Drone",1,24,,4.99,,,5702014994331,673419193986,17,17,0.4,,"",1,1,0,,0,1,,,,,,,,,22.4400,9.0000,"01/01/2013","31/12/2013"
"30168-1","Marvel Super Heroes","Iron Man 3",2013,"Gun mounting system",1,17,,,,,5702015071352,673419202763,,,,,"",1,1,0,,0,1,,,,,,,,,70.9500,62.0800,"",""
"30189-1","Creator","Promotional",2014,"Transport Plane  ",,49,,,,,5702015122726,,17,17,1.1,,"",1,1,0,,0,1,,,,,,,,,3.8900,1.5000,"01/01/2014","31/12/2014"
"30227-1","City","Police",2014,"Police Watercraft",2,36,,4.99,,,5702015129312,,17,19.5,1,,"",2,2,0,,0,1,,,,,,,,,3.9500,2.1900,"01/01/2014","31/12/2014"
"30228-1","City","Police",2014,"Police ATV",1,40,,,,,5702015129329,673419212786,17,19.5,1,,"",1,1,0,,0,1,,,,,,,,,3.9200,3.5900,"01/01/2014","31/12/2014"
"30229-1","City","Construction",2014,"Repair Lift ",1,40,,3.49,,,5702015129336,,17,19.5,1.1,,"",1,1,0,,0,1,,,,,,,,,9.8700,3.6900,"01/01/2014","31/12/2014"
